location_id,location_name,sex_id,sex,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
35,Georgia,2,Female,27,Age-standardized,Daily smoking prevalence,-0.001058108,-0.017294778,0.014755528,-0.002736662,-0.027774002,0.023306262,0.001459724,-0.031115003,0.034491897
35,Georgia,3,Both,27,Age-standardized,Daily smoking prevalence,0.004084567,-0.001021681,0.009203943,0.006698439,-0.001298473,0.014140106,0.000163758,-0.00976542,0.009957734
36,Kazakhstan,1,Male,27,Age-standardized,Daily smoking prevalence,-0.000952737,-0.005530283,0.003961601,-0.000722035,-0.008749422,0.007371394,-0.001298789,-0.011832211,0.008945983
36,Kazakhstan,2,Female,27,Age-standardized,Daily smoking prevalence,0.003738889,-0.011905108,0.019763801,0.017829694,-0.007842881,0.044847637,-0.017397318,-0.049298149,0.016042536
36,Kazakhstan,3,Both,27,Age-standardized,Daily smoking prevalence,-0.000658679,-0.004990118,0.003914309,0.000958029,-0.006509999,0.008763946,-0.00308374,-0.012980387,0.006776894
37,Kyrgyzstan,1,Male,27,Age-standardized,Daily smoking prevalence,0.001688097,-0.003292884,0.006978345,0.00258486,-0.005422377,0.01112463,0.000342953,-0.010489559,0.012059492
37,Kyrgyzstan,2,Female,27,Age-standardized,Daily smoking prevalence,0.029182438,0.012384561,0.047166541,0.030468091,0.00425601,0.056299567,0.027253959,-0.008492461,0.064551435
37,Kyrgyzstan,3,Both,27,Age-standardized,Daily smoking prevalence,0.00386627,-0.001127065,0.009123853,0.005032788,-0.002927536,0.013342176,0.002116493,-0.008545226,0.0132378
38,Mongolia,1,Male,27,Age-standardized,Daily smoking prevalence,-0.002506737,-0.008016803,0.002430393,0.001122166,-0.005449112,0.008191895,-0.007950091,-0.018985802,0.001987235
38,Mongolia,2,Female,27,Age-standardized,Daily smoking prevalence,0.003965836,-0.010973642,0.019773871,0.003487335,-0.017166246,0.023717353,0.004683587,-0.027031699,0.033796374
38,Mongolia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.001691182,-0.006802561,0.002963892,0.001893838,-0.004592838,0.008836174,-0.00706871,-0.017284295,0.001964649
39,Tajikistan,1,Male,27,Age-standardized,Daily smoking prevalence,-0.02849362,-0.035872839,-0.02188262,-0.041652769,-0.051943045,-0.031492397,-0.008754898,-0.025775176,0.00894482
39,Tajikistan,2,Female,27,Age-standardized,Daily smoking prevalence,-0.028791724,-0.046812698,-0.009574328,-0.041134447,-0.069749072,-0.012539199,-0.010277643,-0.048544068,0.028763652
39,Tajikistan,3,Both,27,Age-standardized,Daily smoking prevalence,-0.027682099,-0.03480529,-0.021059237,-0.040636487,-0.050883222,-0.030684248,-0.008250513,-0.024702782,0.008889835
40,Turkmenistan,1,Male,27,Age-standardized,Daily smoking prevalence,-0.012357237,-0.021425037,-0.003168328,-0.015226025,-0.029524857,-0.000799486,-0.008054055,-0.027836222,0.009922273
40,Turkmenistan,2,Female,27,Age-standardized,Daily smoking prevalence,-0.005531029,-0.024325624,0.01318858,-0.007690749,-0.038362481,0.020470293,-0.002291448,-0.039679199,0.038813859
40,Turkmenistan,3,Both,27,Age-standardized,Daily smoking prevalence,-0.011934151,-0.020766672,-0.003431482,-0.01456281,-0.028101934,-0.000337691,-0.007991161,-0.026487842,0.009439829
41,Uzbekistan,1,Male,27,Age-standardized,Daily smoking prevalence,-0.005843664,-0.013827065,0.00276372,0.002949736,-0.009854126,0.016451113,-0.019033764,-0.035580523,-0.002252273
41,Uzbekistan,2,Female,27,Age-standardized,Daily smoking prevalence,0.024150068,0.009083995,0.040558372,0.036072534,0.009951219,0.061658558,0.006266369,-0.025424685,0.038241237
41,Uzbekistan,3,Both,27,Age-standardized,Daily smoking prevalence,-0.001603477,-0.008862032,0.006447994,0.007173025,-0.004389327,0.019920757,-0.014768231,-0.028689345,-0.000513516
42,Central Europe,1,Male,27,Age-standardized,Daily smoking prevalence,-0.008699078,-0.010396803,-0.006982437,-0.00649357,-0.008879568,-0.004166267,-0.012007339,-0.01607587,-0.007783153
42,Central Europe,2,Female,27,Age-standardized,Daily smoking prevalence,-0.002592553,-0.005703162,0.000535753,-0.000118933,-0.003991784,0.004111197,-0.006302983,-0.014242248,0.001399829
42,Central Europe,3,Both,27,Age-standardized,Daily smoking prevalence,-0.006332225,-0.007973845,-0.004665637,-0.004092658,-0.006207635,-0.00201429,-0.009691574,-0.013675443,-0.005723349
43,Albania,1,Male,27,Age-standardized,Daily smoking prevalence,-0.004960612,-0.010047843,0.000288636,-0.009891791,-0.016543809,-0.002894718,0.002436155,-0.007922239,0.012452447
43,Albania,2,Female,27,Age-standardized,Daily smoking prevalence,-3.41E-05,-0.012738028,0.012205209,-0.007822964,-0.025553545,0.011227945,0.011649086,-0.013256775,0.035628363
43,Albania,3,Both,27,Age-standardized,Daily smoking prevalence,-0.005864277,-0.010629641,-0.001032311,-0.011081538,-0.01730256,-0.004310909,0.001961614,-0.007638535,0.011265573
44,Bosnia and Herzegovina,1,Male,27,Age-standardized,Daily smoking prevalence,0.002454977,-0.001989904,0.007155513,0.005871891,-0.000423043,0.012520138,-0.002670393,-0.011129411,0.005024417
44,Bosnia and Herzegovina,2,Female,27,Age-standardized,Daily smoking prevalence,0.004905501,-0.004080928,0.015480026,0.005163328,-0.0079314,0.019409338,0.004518761,-0.012152582,0.02091085
44,Bosnia and Herzegovina,3,Both,27,Age-standardized,Daily smoking prevalence,0.003329313,-0.001152252,0.008118912,0.005591172,-0.000640166,0.012303167,-6.35E-05,-0.007811695,0.007601365
